wellness_symptom_id,wellness_symptom_name,wellness_symptom_position,wellness_symptom_wellness_symptom_category_id
wnst-019b5593-ae5c-7742-9b5f-33d50cc688a8,acid reflux,17,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d6e758885a,bloating,18,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d7a83e22c5,constipation,19,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d87b4d0f5b,diarrhoea,20,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d9bd8abb76,flatulence,21,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33dad0f3a1aa,low appetite,22,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33db464dfcd7,headache,23,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33dcaae26656,arthritis,24,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33ddbb69e6cc,back (lower) pain,25,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33def43bd5c6,back (upper) pain,26,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33df37c28c4f,chest pain,27,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e0b9e49e84,earache,28,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e1399bee0c,eye pain,29,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e261a113e2,generalised pain,30,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e36e70d3c2,jaw pain,31,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e4aa641e7b,joint pain,32,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e5ea7859c4,migraine pain,33,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e65cec922b,neck pain,34,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e7748b879d,toothache,35,wnstctgr-019b5573-5f02-7c01-bd64-ffa5b334d853
wnst-019b5593-ae5c-7742-9b5f-33e8d850b148,drowsiness,36,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33e9935739b8,fatigue,37,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33ea9c22220c,insomnia,38,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33ebf86b0464,blurred vision,39,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33ecf56da91c,brain zaps,40,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33ed73e5969a,dizziness,41,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33ee553818d6,dry mouth,42,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33ef29b01422,heart palpitations,43,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f09f0ba840,high blood pressure,44,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f142ec4560,low blood pressure,45,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f2c28491c7,night sweats,46,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f36072cc7d,seizure,47,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f436f5aede,swelling,48,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f5168d65c5,tinnitus,49,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f6d8d4aec0,tremors,50,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
wnst-019b5593-ae5c-7742-9b5f-33f7f31b421c,vertigo,51,wnstctgr-019b5573-5f02-7c01-bd64-ffa6ea7ff77b
